left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.7250018119812012,0.6729770600795746,0.7779383659362793,0.7007604390382767,0.6656880080699921,0.7117067128419876,0.6985992938280106,0.7503356635570526,0.7315779626369476,0.7320114076137543,0.6498695760965347,0.7375875562429428,0.7747865915298462,0.7612554430961609,0.7809544801712036,0.720859631896019,0.7071913927793503,0.6498928666114807,0.7592356204986572,0.6767004877328873
aci,0.6740318983793259,0.6589431911706924,0.6631691157817841,0.6944296807050705,0.681345671415329,0.6493881195783615,0.6463300883769989,0.6918934434652328,0.6574434340000153,0.7030029743909836,0.6433837115764618,0.6869097352027893,0.6959965229034424,0.6599224507808685,0.6699997037649155,0.6614752113819122,0.692125141620636,0.7087403535842896,0.6452233791351318,0.6822488158941269
acn,0.6373626738786697,0.618129163980484,0.6376129984855652,0.6678194999694824,0.6773015558719635,0.6932200044393539,0.6485080122947693,0.6946679204702377,0.650208979845047,0.6731118261814117,0.6572071760892868,0.6385751068592072,0.6344793736934662,0.6785807907581329,0.7254669666290283,0.6722770184278488,0.640230193734169,0.6804603487253189,0.6954141855239868,0.6882379651069641
aco,0.7695977091789246,0.6773216873407364,0.6788303852081299,0.662092462182045,0.6843528002500534,0.7536443471908569,0.7136511653661728,0.7614414691925049,0.6376979053020477,0.7184160053730011,0.674206480383873,0.6778038144111633,0.7403554618358612,0.6572496294975281,0.6955241858959198,0.6858227849006653,0.7124752104282379,0.6701968610286713,0.7147336304187775,0.7111081182956696
acu,0.7675440013408661,0.7753631174564362,0.7515435516834259,0.7834085822105408,0.8150662183761597,0.7793470025062561,0.6132912710309029,0.7197320014238358,0.6623201370239258,0.6754935532808304,0.8193647563457489,0.6719703078269958,0.7819954752922058,0.7558904886245728,0.7352445721626282,0.7220734655857086,0.7549925148487091,0.7847667932510376,0.6999560594558716,0.6834547966718674
acw,0.7196880131959915,0.8219822943210602,0.7236413955688477,0.7726112008094788,0.8261993825435638,0.8132463991641998,0.7387836575508118,0.6758175194263458,0.68863146007061,0.7317603230476379,0.7486945986747742,0.6180320754647255,0.6288981288671494,0.7912694811820984,0.7138603180646896,0.6258817315101624,0.6217250004410744,0.740613117814064,0.6160401403903961,0.6545996069908142
adt,0.7477664649486542,0.7916653156280518,0.7826164066791534,0.7977142333984375,0.6354105770587921,0.6874024271965027,0.8372866809368134,0.6637992709875107,0.7026648968458176,0.6917940080165863,0.7358705848455429,0.8216448128223419,0.7151667475700378,0.8408675193786621,0.6406144201755524,0.7726377844810486,0.7745311260223389,0.8237663805484772,0.8357657194137573,0.662493571639061
aei,0.6243503540754318,0.7711373865604401,0.7143397778272629,0.6736526340246201,0.7498153448104858,0.7587381899356842,0.7671425640583038,0.7366589903831482,0.7695427238941193,0.7711445987224579,0.6694400012493134,0.7356228530406952,0.7388465106487274,0.7618507146835327,0.8126749396324158,0.7339291870594025,0.7588913440704346,0.8019605576992035,0.7777212262153625,0.705660954117775
aej,0.6983409076929092,0.7927402555942535,0.7545432150363922,0.7149305641651154,0.7038382738828659,0.7583337724208832,0.764057457447052,0.7416879832744598,0.7019004821777344,0.6588476747274399,0.7295387834310532,0.7722679376602173,0.781983345746994,0.7436155527830124,0.7141657024621964,0.7109906226396561,0.7511597573757172,0.6321759819984436,0.7128436863422394,0.7503862679004669
aem,0.7747644186019897,0.7124892324209213,0.7049018293619156,0.7698089480400085,0.7545998096466064,0.7098626494407654,0.7757658362388611,0.5905328840017319,0.6213897690176964,0.6253613084554672,0.7814823687076569,0.6930513232946396,0.6971368789672852,0.6392505764961243,0.7832029759883881,0.7492566555738449,0.7105444967746735,0.7935027480125427,0.6890130639076233,0.741868868470192
aes,0.7421809136867523,0.6167789548635483,0.7061942368745804,0.707788810133934,0.7315626889467239,0.6679868698120117,0.7023501992225647,0.7274508327245712,0.7517451345920563,0.6990406662225723,0.6525652408599854,0.6933076083660126,0.6703551709651947,0.7158884406089783,0.6697906106710434,0.7024920135736465,0.7016551494598389,0.8121586740016937,0.6888339519500732,0.7034454047679901
afd,0.6442420780658722,0.6642744243144989,0.7368510514497757,0.7533277571201324,0.7342815548181534,0.7212444394826889,0.6301325410604477,0.6639277935028076,0.6058061569929123,0.7285356521606445,0.7524086534976959,0.7894912362098694,0.7311436384916306,0.7227377444505692,0.7135210633277893,0.7475702464580536,0.6826926022768021,0.7923325896263123,0.6733187437057495,0.6903247237205505
afl,0.7803542912006378,0.7418820410966873,0.7806836068630219,0.5944790095090866,0.7384450882673264,0.6481541395187378,0.764372318983078,0.7868506014347076,0.8538275957107544,0.7936075329780579,0.8243104219436646,0.6672112196683884,0.7824977934360504,0.8002915680408478,0.6745445132255554,0.7154459953308105,0.7370776236057281,0.7899625599384308,0.7008085399866104,0.817249596118927
agb,0.7128772884607315,0.8196583688259125,0.719311535358429,0.6277368068695068,0.7575686872005463,0.6914989799261093,0.7722223103046417,0.709529846906662,0.8256198465824127,0.6712863445281982,0.7528879642486572,0.7289894372224808,0.6296175718307495,0.784902036190033,0.6257620453834534,0.7599749267101288,0.7546722888946533,0.7722898125648499,0.8388122916221619,0.7043702453374863
agl,0.6889246702194214,0.6345967948436737,0.6630236953496933,0.7103597819805145,0.6923180371522903,0.7244901955127716,0.7172520160675049,0.6463733315467834,0.6885513514280319,0.7431278377771378,0.6552103608846664,0.6821422427892685,0.6361823081970215,0.6731626242399216,0.6752125322818756,0.7016710340976715,0.7052958458662033,0.6523904949426651,0.7000318020582199,0.6871341466903687
ahg,0.6302042752504349,0.8416688740253448,0.6813116520643234,0.802274763584137,0.610319010913372,0.7106020003557205,0.6825734972953796,0.7914877235889435,0.6605881899595261,0.740810215473175,0.7726081013679504,0.6831885427236557,0.6778638660907745,0.7757016122341156,0.6646717488765717,0.7841461896896362,0.8418483734130859,0.7491228580474854,0.6806133538484573,0.7392066866159439
ahr,0.6104315668344498,0.674332931637764,0.7204737365245819,0.6231365501880646,0.7817376554012299,0.7582399845123291,0.639807939529419,0.617045171558857,0.7255887240171432,0.6287881880998611,0.6319160908460617,0.6599033623933792,0.847440630197525,0.7644119560718536,0.6214042603969574,0.8228030502796173,0.6332154124975204,0.6266898363828659,0.6890593618154526,0.611805222928524
aik,0.6634174883365631,0.7335232198238373,0.6503537148237228,0.7758858501911163,0.7223202437162399,0.7066039741039276,0.7406741231679916,0.6251111775636673,0.650562509894371,0.6316926777362823,0.6737529039382935,0.6681846529245377,0.6950634270906448,0.6459157764911652,0.7017394006252289,0.7077494859695435,0.6555311530828476,0.6839127838611603,0.7005466222763062,0.5977357849478722
aiv,0.6431235074996948,0.7072139829397202,0.7125944495201111,0.6741255968809128,0.6556800156831741,0.6455722451210022,0.6670427918434143,0.650730773806572,0.6850127577781677,0.6577887684106827,0.7107061892747879,0.606645904481411,0.7033925950527191,0.6755611449480057,0.6386638879776001,0.647137314081192,0.6663117110729218,0.6154958456754684,0.6287540942430496,0.6587267369031906
ajf,0.6895587593317032,0.7419736981391907,0.88818359375,0.7663870453834534,0.7095227837562561,0.6262882351875305,0.7719590663909912,0.710783064365387,0.6915411055088043,0.7244000732898712,0.7398669868707657,0.7488652914762497,0.6581319719552994,0.6836701333522797,0.6023034602403641,0.664433017373085,0.773539125919342,0.7585006058216095,0.6039723083376884,0.6682019531726837
