left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.4870499,0.4661141,0.6370906,0.4402245,0.4374058,0.55984557,0.5099704,0.5891417,0.5256526,0.578776,0.34528294,0.59581,0.5635641,0.657087,0.6132435,0.5921496,0.6280785,0.34605142,0.60918254,0.49851182
aci,0.38231483,0.44332036,0.39914078,0.46484408,0.45673355,0.41731814,0.4238785,0.54130214,0.40398115,0.48043743,0.45589674,0.533256,0.55978364,0.4816654,0.45146137,0.4541509,0.47774333,0.51416713,0.3729232,0.47841477
acn,0.4783006,0.45283014,0.4831953,0.4848716,0.5526735,0.4550746,0.39540416,0.47207278,0.49497548,0.4279065,0.48731196,0.43761605,0.46670595,0.46351576,0.4808989,0.48692557,0.4499314,0.41568178,0.52203405,0.5009987
aco,0.5057534,0.4146404,0.4056691,0.45119482,0.48752695,0.55684954,0.46545482,0.56791633,0.50071526,0.39540467,0.4128958,0.5252677,0.48389414,0.41625702,0.48534152,0.47946,0.54425573,0.46148586,0.5336614,0.5532678
acu,0.6216954,0.65707505,0.58575314,0.665178,0.6403139,0.6217253,0.38146135,0.58781576,0.45360827,0.48858157,0.6566645,0.4441331,0.66448545,0.5851617,0.5776747,0.54275763,0.56298774,0.6816321,0.4969423,0.4570068
acw,0.46395838,0.66471165,0.5454363,0.59509695,0.65148175,0.6515668,0.58605677,0.4724216,0.5009356,0.55893433,0.6048369,0.450871,0.3969182,0.5789765,0.51939714,0.39432514,0.3586431,0.61882305,0.3649999,0.38379696
adt,0.59618664,0.6720681,0.58896655,0.6842083,0.45861605,0.4608924,0.72039676,0.3364926,0.44027948,0.5295069,0.57655334,0.63965577,0.4748443,0.71546966,0.39938134,0.526274,0.69536287,0.72120935,0.74875563,0.36821437
aei,0.3438157,0.5628302,0.57916605,0.4900154,0.47261757,0.6446883,0.5926825,0.58360875,0.60248816,0.66589516,0.48612148,0.626205,0.6018057,0.5991492,0.6000342,0.5693959,0.5719226,0.6623598,0.59932345,0.579084
aej,0.52971095,0.633404,0.5448604,0.52307016,0.56954694,0.60832494,0.6689456,0.5460581,0.45157814,0.49741828,0.58265036,0.54482013,0.568043,0.5430842,0.53613764,0.5054409,0.6260544,0.37582862,0.56440187,0.6305867
aem,0.6828947,0.5070575,0.6528068,0.6099472,0.7028024,0.5947774,0.69352365,0.31217033,0.40002537,0.3773829,0.71345025,0.4964595,0.4223117,0.38990247,0.6834185,0.6967529,0.5140219,0.5811096,0.6159426,0.6397911
aes,0.5672405,0.50107664,0.57941264,0.50920373,0.54117185,0.49429628,0.5550221,0.5226544,0.5601058,0.5538864,0.46812874,0.49543208,0.5370824,0.5591848,0.45638722,0.51507044,0.4854189,0.625166,0.52037907,0.5028406
afd,0.3990875,0.43998268,0.46302855,0.5387152,0.6350142,0.60822153,0.36508304,0.42748094,0.3470652,0.55898076,0.5154312,0.56869954,0.40204927,0.5484012,0.50439185,0.46649718,0.34388652,0.59319174,0.5013786,0.48332855
afl,0.5145911,0.4810155,0.6185601,0.2694397,0.6352567,0.34781232,0.46410048,0.6229171,0.70744467,0.69651395,0.62607455,0.40599597,0.54558307,0.66395044,0.49223194,0.56390816,0.48278856,0.7180334,0.5426427,0.65818167
agb,0.45034054,0.70432353,0.52312267,0.41282862,0.545605,0.47625375,0.5846091,0.46648175,0.6316618,0.36684746,0.5579735,0.5045835,0.39739317,0.6370202,0.40876666,0.60121626,0.6060698,0.6158768,0.674069,0.4413374
agl,0.45627043,0.44430304,0.40804803,0.47060215,0.47962135,0.46455273,0.47750914,0.30652112,0.39633182,0.49742737,0.36061966,0.34854084,0.345376,0.34508944,0.47820783,0.3937843,0.4332809,0.3831717,0.42547652,0.36183268
ahg,0.3535071,0.7047496,0.46722445,0.6681759,0.30618495,0.40518734,0.3968256,0.6443997,0.34881413,0.5278135,0.6358689,0.3980666,0.40270394,0.60181445,0.4053348,0.64507234,0.6652791,0.61145604,0.3813483,0.48352528
ahr,0.4223696,0.49396715,0.53494054,0.28566396,0.697982,0.60796535,0.4350445,0.37044063,0.5263552,0.44464713,0.3553467,0.5085994,0.71508735,0.62200916,0.3466215,0.67986405,0.4340298,0.41503108,0.51088756,0.33540314
aik,0.3830084,0.51096064,0.3452043,0.50581807,0.547542,0.35237092,0.5178998,0.34436384,0.38886276,0.39394644,0.43075567,0.46305972,0.4551815,0.4037543,0.551636,0.42104104,0.432081,0.46252415,0.44663987,0.36033714
aiv,0.46634,0.54471594,0.48062578,0.51803845,0.42505527,0.44601408,0.4471142,0.49058372,0.5162607,0.39581743,0.46223018,0.4500287,0.46835694,0.37842432,0.43510708,0.4091028,0.43986684,0.40851808,0.42569807,0.4690625
ajf,0.50291663,0.6008438,0.68885773,0.5806067,0.51718503,0.34518814,0.56541836,0.5300954,0.45327163,0.5171428,0.5233867,0.5648121,0.4216393,0.5012993,0.3571819,0.41041502,0.57579,0.6168034,0.40919715,0.4541415
ajk,0.6311203,0.692705,0.49445963,0.5577654,0.55565965,0.6954073,0.6404678,0.4829206,0.44895762,0.39470747,0.56762767,0.4362479,0.3495156,0.51788884,0.5610511,0.4437686,0.48112264,0.741748,0.4767779,0.588149
aka,0.4508115,0.47980475,0.42352653,0.43036255,0.59552,0.57983005,0.5384626,0.5854138,0.5415222,0.63797045,0.5989761,0.46048602,0.3641808,0.49515554,0.48549566,0.4545148,0.53100085,0.4359711,0.5607141,0.59487224
akg,0.36153656,0.6601412,0.4154296,0.68559897,0.6835478,0.60879374,0.32834274,0.65759385,0.4190125,0.370984,0.5747507,0.54154295,0.8556742,0.5586298,0.58673954,0.76772445,0.5723182,0.5827956,0.73330355,0.36561728
alc,0.3962662,0.6864011,0.4023283,0.5121407,0.5851638,0.38737926,0.44731155,0.59951526,0.5168226,0.4081224,0.627595,0.73691905,0.63073725,0.7618307,0.7368618,0.37535286,0.5933432,0.42084157,0.6209046,0.67520374
ali,0.56001717,0.5924536,0.63454676,0.60705245,0.4369368,0.39248636,0.691218,0.58113015,0.61118096,0.45594686,0.61457187,0.4669768,0.39291385,0.55097306,0.62395287,0.58618605,0.6233106,0.5839099,0.64616054,0.43826005
alt,0.3792077,0.5218991,0.47425884,0.6890236,0.70946145,0.5554955,0.2572656,0.6366125,0.5272258,0.64791936,0.37984708,0.687499,0.7586687,0.35952422,0.6630501,0.5917585,0.40597457,0.6603394,0.6784031,0.7237374
alx,0.5340072,0.42133334,0.45732617,0.5719883,0.5227349,0.43212104,0.4655435,0.617279,0.63939214,0.4416117,0.70667124,0.40579516,0.57578516,0.7689097,0.53418756,0.5464006,0.3722353,0.6984601,0.6473098,0.63720065
aly,0.4568382,0.5193963,0.5741333,0.4412207,0.53698915,0.4216211,0.4986705,0.37439895,0.56605977,0.46332526,0.46106145,0.45789704,0.28575587,0.5811102,0.5346102,0.4775604,0.45051482,0.43176344,0.46611986,0.36649895
ama,0.5808654,0.5455982,0.57306504,0.6777596,0.5614627,0.48734054,0.5357715,0.55492395,0.5522103,0.5279446,0.507509,0.4403876,0.26321137,0.5034541,0.3910148,0.6013145,0.48724064,0.5454305,0.58091944,0.48690972
amb,0.52735746,0.2640106,0.40866137,0.43076605,0.57688624,0.8402785,0.52722895,0.5048769,0.3726684,0.5150254,0.5043875,0.46950492,0.43786508,0.51908255,0.36679772,0.4610585,0.49386978,0.53343946,0.39669797,0.52347213
amd,0.45976883,0.5191588,0.4257909,0.54639053,0.4117373,0.31907845,0.34510547,0.42437837,0.43910944,0.35068813,0.4147902,0.45688155,0.3842571,0.60770226,0.34565046,0.33396736,0.38569766,0.32005268,0.3366091,0.3881495
amg,0.35946217,0.5623024,0.47038004,0.56798714,0.38540438,0.60143477,0.5833027,0.62814695,0.5659912,0.33098647,0.57208365,0.36749983,0.5837383,0.5507311,0.5782068,0.6575516,0.41184267,0.53222924,0.5831823,0.51813465
amh,0.36997038,0.47113097,0.44061962,0.42885357,0.4783172,0.41195357,0.44643337,0.39493883,0.4682686,0.42178774,0.44224155,0.38739473,0.43133664,0.42305064,0.5110258,0.41499683,0.47397968,0.32261795,0.47369185,0.4253237
amn,0.41727823,0.4678503,0.44994506,0.3931365,0.31063288,0.43353006,0.5132698,0.42971715,0.51104504,0.42558184,0.49860495,0.57808137,0.43889338,0.48100805,0.38177586,0.5081855,0.5364631,0.51264554,0.45422742,0.49311328
amq,0.46995884,0.41582823,0.3821122,0.37292135,0.45940217,0.50744116,0.40241727,0.44395366,0.44698676,0.50911534,0.33591226,0.55080587,0.4606886,0.3906208,0.5427138,0.4417964,0.46044672,0.5282508,0.528508,0.48820162
aop,0.41499123,0.3824782,0.47605118,0.52063495,0.37394145,0.7054777,0.61937994,0.42280957,0.46816543,0.6350909,0.67364585,0.58777905,0.34447512,0.4943793,0.4482411,0.4283384,0.69350606,0.6399752,0.54899555,0.6410705
aoq,0.6934165,0.46601546,0.35576168,0.42741707,0.5505444,0.61266243,0.4383678,0.37629429,0.43988097,0.6260186,0.5173332,0.71537346,0.637617,0.31931707,0.42256504,0.530445,0.5006742,0.7298122,0.44928497,0.33579066
aoy,0.3692124,0.7011442,0.66277266,0.7338858,0.5768007,0.71980584,0.26425898,0.6681201,0.590766,0.4466472,0.73283273,0.70292956,0.5792172,0.72571033,0.6967475,0.7273661,0.62733454,0.42741838,0.68837893,0.55046934
app,0.43447015,0.45326096,0.5296331,0.6185394,0.4454977,0.72665846,0.4290887,0.478126,0.6279961,0.544535,0.5727679,0.5680969,0.6432564,0.4889211,0.47779226,0.48196068,0.55247605,0.48021135,0.38797316,0.46790668
apx,0.55806786,0.40631104,0.41368136,0.31946987,0.36116865,0.462688,0.613054,0.45776245,0.5022149,0.54475087,0.56888324,0.47111654,0.43112716,0.3261564,0.6808458,0.60714424,0.53059596,0.38631907,0.61799395,0.63670427
aqd,0.53496915,0.42483017,0.5134043,0.54182833,0.47793,0.5944528,0.48301423,0.6540578,0.5688242,0.5193723,0.65515906,0.44322962,0.56258076,0.533034,0.5653402,0.61318654,0.35150197,0.4034116,0.5238918,0.57773834
aqt,0.48914638,0.47839284,0.5891399,0.53725946,0.51141524,0.45863193,0.5114973,0.493309,0.5040463,0.5295872,0.52708566,0.4203688,0.5032264,0.504465,0.4495373,0.44473678,0.46380696,0.46274388,0.4271755,0.5593322
ara,0.49001697,0.35584033,0.4642747,0.48529175,0.40989968,0.4123677,0.41448456,0.49536607,0.3318334,0.455798,0.47168943,0.46231553,0.44128808,0.49955598,0.44937986,0.47383022,0.4270306,0.48157826,0.5119175,0.4266858
arq,0.43345183,0.49725512,0.57187295,0.4917527,0.5535396,0.5695166,0.54150563,0.5728424,0.52533966,0.5468016,0.49373055,0.41881996,0.5215283,0.55557954,0.43348107,0.6577909,0.49128255,0.5907091,0.41858578,0.5267987
